E	i
3.14821909368038	2.86135691031814
3.16314899548888	2.86135691031814
3.17807889729738	2.92602597083896
3.19300879910588	2.92105142772198
3.20793870091438	2.91607688460499
3.22286860272288	2.95587322954088
3.23779850453138	2.89617871213704
3.25272840633988	2.94592414330691
3.26765830814838	2.9508986864239
3.28258820995688	2.97577140200883
3.29751811176538	2.95587322954088
3.31244801357388	3.00064411759377
3.32737791538239	2.96084777265787
3.34230781719089	3.01556774694473
3.35723771899939	3.00561866071075
3.37216762080789	3.02054229006171
3.38709752261639	2.93100051395595
3.40202742442489	3.05038954876363
3.41695732623339	3.02054229006171
3.43188722804189	2.98572048824281
3.44681712985039	3.02054229006171
3.46174703165889	3.06033863499761
3.47667693346739	3.03049137629569
3.49160683527589	2.98074594512582
3.50653673708439	2.90115325525403
3.52146663889289	2.97577140200883
3.53639654070139	2.97577140200883
3.55132644250989	2.94094960018992
3.56625634431839	3.01059320382774
3.58616288006306	2.99566957447678
3.60109278187156	3.02054229006171
3.61602268368006	3.00561866071075
3.63095258548856	3.01556774694473
3.64588248729706	3.01059320382774
3.66081238910556	2.94592414330691
3.67574229091406	2.98074594512582
3.69067219272256	3.06033863499761
3.70560209453106	3.02054229006171
3.72053199633956	3.03049137629569
3.73546189814806	3.01556774694473
3.75039179995656	2.99069503135979
3.76532170176506	3.02054229006171
3.78025160357356	3.03049137629569
3.79518150538206	2.99566957447678
3.81011140719056	2.99566957447678
3.82504130899906	3.04044046252966
3.83997121080756	3.06033863499761
3.85490111261606	2.96084777265787
3.86983101442456	3.00064411759377
3.88476091623306	2.97079685889184
3.89969081804156	3.05536409188062
3.91462071985006	3.06531317811459
3.92955062165856	3.09516043681651
3.94448052346706	2.99566957447678
3.95941042527556	3.06033863499761
3.97434032708406	3.01556774694473
3.98927022889256	3.07028772123158
4.00420013070107	3.02054229006171
4.01913003250957	2.96582231577486
4.03405993431807	3.02054229006171
4.04898983612657	3.0255168331787
4.06391973793507	2.98572048824281
4.07884963974357	3.0255168331787
4.09377954155207	3.01556774694473
4.10870944336057	3.00561866071075
4.12363934516907	2.99069503135979
4.13856924697757	3.08521135058254
4.15349914878607	3.0255168331787
4.16842905059457	2.98074594512582
4.18335895240307	3.01059320382774
4.19828885421157	2.96084777265787
4.21321875602007	3.01059320382774
4.22814865782857	3.0255168331787
4.24307855963707	3.04541500564665
4.25800846144557	3.0255168331787
4.27293836325407	2.98074594512582
4.28786826506257	3.05536409188062
4.30279816687107	3.02054229006171
4.31772806867957	3.0255168331787
4.33265797048807	3.03049137629569
4.34758787229657	3.02054229006171
4.36251777410507	2.98572048824281
4.37744767591357	3.04044046252966
4.39237757772207	3.06033863499761
4.40730747953057	3.13495678175241
4.42223738133907	3.12500769551843
4.43716728314757	3.12500769551843
4.45209718495607	3.16977858357131
4.46702708676457	3.16480404045433
4.48195698857307	3.13993132486939
4.49688689038157	3.23444764409214
4.51181679219007	3.26429490279406
4.52674669399858	3.31901487708092
4.54167659580708	3.34388759266585
4.55660649761558	3.44835299812257
4.57153639942408	3.48814934305847
4.58646630123258	3.49809842929244
4.60139620304108	3.5130220586434
4.61632610484958	3.61748746410012
4.63125600665808	3.68713106773794
4.64618590846658	3.7020546970889
4.66111581027508	3.78164738696069
4.67604571208358	3.85626553371549
4.69097561389208	3.89108733553439
4.70590551570058	3.95575639605522
4.72083541750908	4.02539999969304
4.73576531931758	4.06022180151194
4.75069522112608	4.16468720696867
4.76562512293458	4.19453446567059
4.78055502474308	4.36366893164814
4.79548492655158	4.42336344905198
4.81041482836008	4.49798159580678
4.82534473016858	4.57757428567857
4.84027463197708	4.56762519944459
4.85520453378558	4.70193786360323
4.87013443559408	4.71188694983721
4.88506433740258	4.67209060490131
4.89999423921108	4.58254882879555
4.91492414101958	4.53777794074267
4.92985404282808	4.46813433710486
4.94478394463658	4.4532107077539
